idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time
0,10,56,7,8930e039d97ffff,8930e038acfffff,126.81543218238153,37.209392398870676,126.83563858373616,37.204331217963386,2024-10-24 07:00:11
1,33,56,7,8930e039d23ffff,8930e038acfffff,126.82910603406626,37.201336470878346,126.83559596591759,37.20543823821367,2024-10-24 07:00:18
2,42,70,7,8930e039993ffff,8930e038a13ffff,126.8325736620766,37.19528057786386,126.8390710263197,37.20983668091888,2024-10-24 07:00:21
3,23,50,7,8930e039d4fffff,8930e038e4fffff,126.82047705765483,37.19075529811058,126.82117095107063,37.2119537017855,2024-10-24 07:00:41
4,70,33,7,8930e038a13ffff,8930e039d23ffff,126.83681442664086,37.20975244386188,126.82985132291968,37.20200314783458,2024-10-24 07:00:43
5,70,33,7,8930e038a13ffff,8930e039d23ffff,126.838360560868,37.20942970311926,126.82862619149499,37.1997681119576,2024-10-24 07:01:03
6,69,30,7,8930e038a1bffff,8930e039d2fffff,126.83837347756078,37.207948879591136,126.83044145233879,37.19934744582732,2024-10-24 07:01:28
7,54,17,7,8930e038ad7ffff,8930e039d77ffff,126.83141139831277,37.210065266168236,126.8269011279858,37.19583832125087,2024-10-24 07:01:29
8,56,33,7,8930e038acfffff,8930e039d23ffff,126.8354069736488,37.20486833646969,126.82982453854078,37.20147862295678,2024-10-24 07:01:38
9,37,51,7,8930e039d0bffff,8930e038e4bffff,126.82017948129649,37.19657430149427,126.81903533903544,37.211696364414124,2024-10-24 07:02:11
10,19,10,7,8930e039d67ffff,8930e039d97ffff,126.82963949744963,37.19556872504948,126.81598715781425,37.21039406631377,2024-10-24 07:02:14
11,23,50,7,8930e039d4fffff,8930e038e4fffff,126.82024881023644,37.19059004678699,126.82331751714648,37.21147161012186,2024-10-24 07:02:21
12,72,33,7,8930e038367ffff,8930e039d23ffff,126.81247221750216,37.20660239776757,126.82879192363481,37.19961310914506,2024-10-24 07:03:06
13,40,72,7,8930e03999bffff,8930e038367ffff,126.83027542928774,37.19285591557171,126.81043471353291,37.20682623910216,2024-10-24 07:04:01
14,51,37,7,8930e038e4bffff,8930e039d0bffff,126.82053818265823,37.20915615241941,126.82081853936707,37.19826467036981,2024-10-24 07:04:03
