idx,o,d,hour,o_h3,d_h3,o_x,o_y,d_x,d_y,time
0,71,34,7,8930e038a0bffff,8930e039d17ffff,126.8410244074143,37.20620702903305,126.82097855680809,37.203846841343136,2024-10-24 07:00:34
1,50,37,7,8930e038e4fffff,8930e039d0bffff,126.82231178570336,37.2112660086831,126.82157838014075,37.19842301905378,2024-10-24 07:01:53
2,50,6,7,8930e038e4fffff,8930e039dabffff,126.82237537318804,37.211429475524056,126.82332995061448,37.204166667431096,2024-10-24 07:01:56
3,7,17,7,8930e039da7ffff,8930e039d77ffff,126.82635394027773,37.208286247764754,126.82727356518029,37.19619926028622,2024-10-24 07:02:16
4,26,17,7,8930e039d43ffff,8930e039d77ffff,126.81807177425912,37.19404653148678,126.82554619491772,37.196742816410605,2024-10-24 07:02:19
5,51,50,7,8930e038e4bffff,8930e038e4fffff,126.81926773776539,37.21118765733351,126.82280967471256,37.21166767989951,2024-10-24 07:02:30
6,21,72,7,8930e039d57ffff,8930e038367ffff,126.8182150055479,37.19533512588061,126.8122000519425,37.20577579579359,2024-10-24 07:02:57
7,51,26,7,8930e038e4bffff,8930e039d43ffff,126.81977644623223,37.211502303272226,126.81685052430309,37.1937762464565,2024-10-24 07:04:13
8,51,21,7,8930e038e4bffff,8930e039d57ffff,126.82038225757985,37.210305760297544,126.81848475100124,37.19670549471427,2024-10-24 07:04:17
9,34,21,7,8930e039d17ffff,8930e039d57ffff,126.82259939159833,37.20390845149515,126.81821964627882,37.19687883758384,2024-10-24 07:06:03
10,50,50,7,8930e038e4fffff,8930e038e4fffff,126.82325713345064,37.210910939546366,126.82114427755785,37.21168425745771,2024-10-24 07:06:16
11,70,21,7,8930e038a13ffff,8930e039d57ffff,126.83784642239233,37.210629039886435,126.81750252791682,37.19688947293307,2024-10-24 07:06:17
12,37,50,7,8930e039d0bffff,8930e038e4fffff,126.82033495486054,37.19653319425722,126.82322221075896,37.21208959091325,2024-10-24 07:06:19
13,23,38,7,8930e039d4fffff,8930e039d07ffff,126.82016725793231,37.19234652829802,126.82353898522885,37.201205442262484,2024-10-24 07:06:34
14,37,3,7,8930e039d0bffff,8930e039db7ffff,126.82109473813358,37.19698716566667,126.82465070918359,37.2108560079162,2024-10-24 07:06:58
15,39,21,7,8930e039d03ffff,8930e039d57ffff,126.82241311626579,37.199604730839674,126.81940384493832,37.19695867694703,2024-10-24 07:07:25
16,23,18,7,8930e039d4fffff,8930e039d73ffff,126.82032298940159,37.1920283901338,126.82318841484924,37.19564954563582,2024-10-24 07:07:26
17,50,37,7,8930e038e4fffff,8930e039d0bffff,126.82316508760559,37.211765884948846,126.82021253326275,37.19798213129875,2024-10-24 07:07:43
18,50,72,7,8930e038e4fffff,8930e038367ffff,126.82290655031002,37.21177171527742,126.81073388293858,37.20601822959111,2024-10-24 07:08:01
19,18,54,7,8930e039d73ffff,8930e038ad7ffff,126.82299029188104,37.19481108650325,126.83387633636434,37.21001922882865,2024-10-24 07:08:05
20,60,38,7,8930e038a9bffff,8930e039d07ffff,126.83203697127429,37.213039908482905,126.82278481719115,37.20140096350214,2024-10-24 07:09:17
21,33,27,7,8930e039d23ffff,8930e039d3bffff,126.8289754698501,37.201021007684965,126.826750721688,37.19908090199244,2024-10-24 07:09:17
22,60,39,7,8930e038a9bffff,8930e039d03ffff,126.8318330600049,37.21277334368079,126.8211258517134,37.201167121841266,2024-10-24 07:09:18
23,18,32,7,8930e039d73ffff,8930e039d27ffff,126.82304435396279,37.196047738595574,126.83149613786716,37.20316506634974,2024-10-24 07:09:33
24,51,55,7,8930e038e4bffff,8930e038ad3ffff,126.81971199034314,37.20968743403762,126.83067733225998,37.209406508461065,2024-10-24 07:10:37
25,51,32,7,8930e038e4bffff,8930e039d27ffff,126.82033796472801,37.20953521956968,126.83143417056027,37.20117569650636,2024-10-24 07:10:59
26,33,10,7,8930e039d23ffff,8930e039d97ffff,126.83031653495495,37.20152584052948,126.8167631611933,37.209358475675295,2024-10-24 07:11:20
27,55,50,7,8930e038ad3ffff,8930e038e4fffff,126.82881903835049,37.20854481228843,126.82199019472469,37.21074954923926,2024-10-24 07:11:42
